"id","property_id","property_name","property_type","gender","description","amenities","in_time","out_time","monthly_tarrif","quarterly_tarrif","halfyearly_tarrif","yearly_tarrif","single_price","double_price","triple_price","quad_price"
"1","1","Placio Elite Homes","pg","male","Come stay at Placio Elite Homes, a home-like student accommodation for male students. It is located in Sector 126, minutes away from Amity University, Sector 125, Noida. Male students enrolling in Amity can get clean and comfortable fully rooms on double and triple sharing basis. All the rooms have privately attached bathrooms with pre-installed geysers, spacious cupboards, soft bedding, air-conditioners, and a TV. In addition to basic amenities, Placio Elite also has a warden facility to ensure that all your needs and grievances are addressed without delay, a bike parking facility, and laundry and room cleaning services. All in all, Placio Elite provides a home-like comfort to students starting a new and important chapter of their lives at Amity University, Sector 125, Noida.","28,29,30,31,34,68,69,70,71,72,73,74,77,79,86,87,88,89,93,94,95,97,98,101,105,106","08:30 PM","08:30 AM","1","1","1","1","","18000","",""
"3","3","Placio Divya Homes","pg","female","Placio Divya is a female-only student housing property located close by to Amity University, Sector 125, Noida. The property offers one types of fully furnished accommodation options to Amity students - Double Room. All these rooms are carefully designed to provide ample space to the students, making them feel comfortable and at home. This Placio verified property is located in Village Raipur, Sector 126 and comes equipped with a bike parking facility, room cleaning service, and a warden facility. Since it is a female-only student housing facility, Placio Divya ensures the safety of each and every resident like its daughters.","29,30,31,34,66,70,71,72,73,74,77,79,86,87,88,89,92,93,94,95,97,98,101,105,106","07:45 PM","07:45 AM","1","1","1","1","","16000","",""
"7","7","Placio Pavillion","pg","male","Placio Pavilion offers impeccable, fully furnished rooms on double sharing basis for male students. What makes this property an ideal choice for Amity University students is the easy distance at which it is located. The rooms at Placio Pavilion are equipped with all the modern comforts that will make the university tenure of students at Amity a memorable and comfortable experience. All the rooms have air-conditioners, cupboards, good quality bedding, and attached bathrooms with geysers. Placio Pavilion additionally offers room cleaning and warden services. 24x7 power backup, high-speed broadband connectivity, parking for residents, two meals a day, study tables and chairs are some other features that give Placio Pavilion a home like touch.

","28,29,30,31,34,66,68,70,71,72,73,74,77,79,86,87,88,89,93,94,95,96,97,98,101,105,106","08:45 PM","08:45 AM","1","1","1","1","","18000","",""
"11","11","Placio Admire Homes","pg","male","<p>Placio Admire Homes is every college goer’s dream - a student housing facility nearby Amity University, Sector 125, Noida that offers youthful accommodation options for males students. They can choose from Single Rooms and Double Rooms, both of which come installed with bedding, cupboards, air conditioners, and attached bathrooms with geysers. The property is located in Village Raipur in Sector 126, which makes it easier for Amity students to commute to and fro on college days, saving time, money and energy. The colourful ad brilliant graffiti on the walls of Placio Admire gives its a very fresh and vibrant atmosphere which the Amity students fall in love with immediately. </p>","27,30,31,34,66,70,71,72,73,74,77,79,86,87,88,89,93,94,96,98,101,103,104,105,106","09:30 AM","08:30 AM","1","1","1","1","20000","13000","",""
"13","13","Placio Amy House","pg","male","Placio Amy House is unique like other student living spaces offered by Placio. Located at Sector 126, the property is easily accessible from Amity University Noida and can be chosen for value for money student living by male students. At Placio Amy House meals are optional, but if you choose to dine you can enjoy quality meals served at the theme based dining area. There is a gaming zone in the cafeteria that surely offer students a moment to chill out during their stay at Amy House. At this property students also get parking space for their vehicles, security services and doctor on call facility. The property also features housekeeping services, 24 x 7 water & electricity supply, ACs, doorbell in rooms and fully furnished living areas. It offers free Wi-Fi facility for resident students along with technological services like customer helpline, SOS helpline for medical and non-medical emergencies and parents helpline.","27,28,29,30,31,34,66,70,71,72,73,74,79,86,87,88,89,90,92,93,94,95,96,98,101,105,106","10:30 PM","07:00 AM","1","1","1","1","","15500","14000",""
"14","14","Placio Atlantis Homes","pg","female","Placio Atlantis Homes provide a safe, secure and comfortable living environment for female students to study and relax in. We take the safety of our students very seriously. Professionally managed, the accommodation has been specially designed to provide everything you need to make your life as a student as easy as possible. We deliver an exceptional student experience by providing double occupancy fully-furnished AC rooms which are equipped with all the facilities required for you to have a great stay. You’ll love the contemporary feel of your new home, and your mind will be kept at ease knowing there are an on-site security, housekeeping and laundry service. The AC rooms have all the very amenities along with fridge, TV, desk and chairs, along with bed, mattress, pillow and linen. We have taken care of the fiddly bits so that you can concentrate on settling in and getting to your lectures on time. High speed WiFi, drinking water, power back are all taken care off. Placio also offers healthy, nutritious and tasty food in our in-house dining. We also offer a parent helpline for a comfortable stay making this the best choice for female students. This place fosters friendship, solidarity and mutual respect.","27,30,31,34,66,70,71,72,73,74,77,79,86,87,88,89,92,93,94,96,97,98,101,105,106","08:15 AM","08:15 AM","1","1","1","1","","15000","",""
"16","16","Placio Venus","pg","female","Placio Venus offers impeccable, fully furnished rooms on double sharing basis for female students. What makes this property an ideal choice for Amity University students is the easy distance at which it is located. The rooms at Placio Venus are equipped with all the modern comforts that will make the university tenure of students at Amity a memorable and comfortable experience. All the rooms have air-conditioners, cupboards, good quality bedding, and attached bathrooms with geysers. Placio Venus additionally offers room cleaning and warden services. 24x7 power backup, high-speed broadband connectivity, parking for residents, two meals a day, study tables and chairs are some other features that give Placio Venus a home like touch.","30,31,34,66,70,71,72,73,74,77,79,86,87,88,89,92,93,94,95,96,97,98,101,105,106","06:15 PM","07:15 AM","1","1","1","1","","12500","",""
"18","18","Placio The Grand Castle","pg","male","You've made up your mind of moving to Noida. Our apartments are located throughout the city, and Placio has considerable experience in off-campus student housing and with pride in our ability we meet those needs. As a student, you deserve a welcoming, safe, well-maintained space to study, to unwind and to enjoy yourself. Here we offer a new kind of student living experience, designed with male students in mind. Living with Placio Housing isn't just about buildings, it’s about safe, secure homes where you can study and socialise in comfort. Our properties are perfectly located near city centres or universities, putting you within easy reach of your college, meaning fewer early-morning commutes. These housing come fully equipped with everything you need. Placio Grand Castle offers fully furnished AC rooms on double sharing basis. Each room is equipped with beds, study table and chairs, storing space, mattress, pillows and clean linen. Your mind will be at ease knowing there’s on-site management teams, laundry services, monitored, CCTV safety teams with 24x7 round the clock ready to help you with anything you need during your stay.  And all of our residences have plenty of communal spaces for studying or socialising. You'll have everything you need for a flying start to student life.  These days are unique moment in your life, so we pride ourselves on delivering exceptional experiences. ","28,30,31,34,66,71,72,73,74,77,79,86,87,88,89,93,94,96,97,98,101,105,106","07:00 PM","07:00 AM","1","1","1","1","","16000","",""
"22","22","Placio Imperial Homez","pg","female","Located in Malviya Nagar near College of Vocational Studies, Placio Imperial Homez is accommodation for female students who want the lively and diverse life South Campus offers. We specialise in student housing to meet the needs of those who are studying in South Campus. We provide clean, safe and secure environments for female students in diverse and multi-cultural areas, allowing our residents to focus on their student experience. All our accommodation come fully furnished, either with single, double and triple occupancy – with attached bathroom, AC, TV, cupboard and mattress with pillow. We have rooms that suit everyone as they are modern and high quality, but reasonably priced. There is onsite management staff to ensure residences are maintained to a high standard. We also provide laundry, WiFi, in-house meals, parking facility. Our residents’ safety is extremely important to us and we have wardens, secure access, parent helpline and CCTV cameras on site for added security. Our communal areas are great to meet other students or to use for group study. Our student accommodation are all located for quick and reliable transport links across South Campus – and are even walking distance from popular university campuses and academic institutions. Placio Imperial Homez is ideal for those that want to experience university life away from home, but still want to be taken care of as if they were staying home and focusing on your studies.","30,31,34,66,67,70,71,72,73,74,79,86,87,88,89,94,96,97,99,101,105,106","10:00 AM","08:00 PM","1","1","1","1","16500","13000","11500","10500"
"26","26","Placio GR Homes","pg","female","Placio GR Homes offers impeccable, fully furnished rooms on double sharing and Triple Sharing basis for female students. What makes this property an ideal choice for students studying in Vijay Nagar is the easy distance at which it is located. The rooms at Placio GR Homes are equipped with all the modern comforts that will make Institutional tenure of students in Vijay Nagar a memorable and comfortable experience. All the rooms have cupboards, good quality bedding, and attached bathrooms. In addition to basic amenities, Placio GR Homes also has a warden facility to ensure that all your needs and grievances are addressed without delay, and room cleaning services. All in all, Placio GR Homes provides a home-like comfort to students starting a new and important chapter of their lives Vijay Nagar, Indore.","27,31,34,70,71,72,73,74,77,79,87,88,89,93,94,96,98,101,105,106","10:00 AM","08:00 PM","1","1","1","1","8500","7500","6500",""
"28","28","Placio Vinayaka 2","pg","male","","27,30,31,70,71,72,73,74,79,87,89,93,94,96,98,101,105,106","10:00 PM","06:00 AM","1","1","1","1","","5800","5500",""
"29","29","Placio Vinayaka","pg","male","Placio Vinayaka offers impeccable, fully furnished rooms on double & triple sharing basis for male students. What makes this property an ideal choice for 'Kautilya Academy' students is the easy distance at which it is located. The room at Placio Vinayaka is equipped with all the modern comforts. All the rooms have cupboards, good quality bedding, and attached bathrooms with solar geysers. Placio Vinayaka additionally offers room cleaning and warden services. 24x7 power backup, high-speed broadband connectivity, parking for residents, three meals a day, study tables and chairs are some other features that give Placio Vinayaka a home like touch.","27,30,31,70,71,72,73,74,79,87,89,93,94,96,98,101,105,106","10:00 PM","06:00 AM","1","1","1","1","","6500","6350",""
"31","31","Placio Nightingale","pg","male","Placio Nightangle offers impeccable, fully furnished rooms on double occupancy and triple occupancy for male students. What makes this property an ideal choice for students is the easy distance at which it is located. The rooms at Placio Nightangle are equipped with all the modern comforts that will make the Institutional tenure of students at Institutes a memorable and comfortable experience. All the rooms have cupboards, good quality bedding, and attached bathrooms. Placio Nightangle additionally offers room cleaning and warden services. 24x7 power backup, high-speed broadband connectivity, parking for residents, three meals a day, study tables and chairs are some other features that give Placio Nightangle a home like touch.","27,31,63,66,71,72,73,74,77,79,86,87,88,89,92,93,94,96,98,101,105,106","11:45 AM","11:45 AM","1","1","1","1","8500","8000","8000","7500"
"32","32","Placio Precious","pg","female","At Placio Precious, we pride ourselves in balancing the warmth of home with the energy of the student life by offering fully-furnished rooms in Indra Nagar on double sharing basis, state-of-the-art amenities, and exceptional service. This is secured student housing complex with fabulous facilities, fully furnished and equipped offering fully furnished AC room offer the privacy of your own bathroom, closet, bed, study desk and chair. Basic amenities like laundry, housekeeping, WiFi, drinking water, 24x7 power back-up are provided which make your stay comfortable and pleasant. We also bring you safe, secure housing ensured by monitored CCTV cameras installed at various location on site, plus phone line for connectivity with parents. Your health is of concern to us and we have taken the responsibility to provide nutritious in-house meals in the dining areas. You can look to us to help make your living experience one that you will remember well past your college years. But most of all, our staff is always on hand to take care of maintenance issues, organise social events, and generally help you out. The residency is situated in an ideal location within walking distance from local shopping, dining, and entertainment destinations. What are you waiting for? Be the first to experience this off-campus gem. Reserve your spot today...while they last!","29,31,34,66,70,73,74,86,87,88,89,94,96,99,105,106","10:00 AM","08:00 PM","1","1","1","1","","10000","",""
"33","33","Placio Shresth Homes","pg","female","Placio Shresth Homes is a female-only student housing property located close by to Amity University, Sector 125, Noida. The property offers three types of fully furnished accommodation options to Amity students - Single Room, Double Room, and Three-Bed Room. All these rooms are carefully designed to provide ample space to the students, making them feel comfortable and at home. These rooms come equipped with pre-installed cupboards, private bathrooms with geyser, clean and soft bedding, delicious breakfast, and parking space for bikes to ensure that your college years remain the best phase of your life. Placio Shrestha also provides its residents with other basic amenities and ensures a clean and healthy environment for anybody who calls it their home.","27,30,31,34,66,70,71,72,73,74,77,79,86,87,88,89,92,93,94,95,96,97,98,101,105,106","10:00 PM","06:00 AM","1","1","1","1","26000","18000","16000",""
"34","34","Placio Elite Homes 2","pg","female","Located at a throwaway distance from Amity University Noida, Sector 125, Placio Elite Homes 2 is a blessing in disguise for all those female students who have taken admissions in Amity and are looking for decent accommodation. This female student housing facility offers double rooms with a private bathroom, air conditioner, organised cupboard, ample bedding, and breakfast and lunch for a comfortable college year at Amity. This Placio verified property is located in Sector 126 and comes equipped with a bike parking facility, laundry services, room cleaning service, and a warden facility. Since it is a female-only student housing facility, Placio Elite Homes 2 ensures the safety of each and every resident like its daughters.","28,29,30,31,34,66,68,69,70,71,72,73,74,77,79,86,87,88,89,93,94,95,96,97,98,101,105,106","10:00 PM","06:00 AM","1","1","1","1","","16000","",""
"35","35","Placio AK Mansion","pg","male","Placio AK Mansion, a verified and safe student housing facility, is located in Sant Nagar at a close distance to all the big institute like Kautilya Academy located near Sant Nagar. Student can choose from Triple Occupancy and Quad Occupancy, both of which come installed with bedding, cupboards, and attached bathrooms with geysers. This Placio verified property is located in 21 Sant Nagar, Near Sant Nagar Gurudwara, Indore Madhya Pradesh-452001 and comes equipped with room cleaning service, and a warden facility. All in all, Placio AK Mansion provides a home-like comfort to students starting a new and important chapter of their lives in Institutional Hub.","27,31,34,62,66,70,71,72,73,74,77,79,87,88,89,93,94,96,98,101,105,106","10:00 PM","06:00 AM","1","1","1","1","","","6500","6500"
"36","36","Placio Princess","pg","female","One of the newest additions to Placio Housing in Lucknow, Placio Princess is a female only accommodation with chic finishes, convenient location next to Amity University making it undoubtedly an ideal destination for premier off-campus living designed with students in mind. The fully-furnished AC rooms on double sharing basis are certain to satisfy just about any student. These come with attached bathroom equipped with geyser. The room also has soft mattress and pillow, beds, study desk and chair. Other premier amenities are Wi-Fi, drinking water, laundry, housekeeping and onsite maintenance services. Placio puts community and quality of life at the forefront of everything we do by providing comfortable and secure residences with monitored CCTVs, 24x7 security, warden and parental helpline. There is also provision of tasty and nutritious in-house meals also in dining area. Quiet, generously sized and fully equipped spaces strengthen strong study habits because Placio Princess  is owned and operated by Placio who are the leading student accommodation provider in India so you can rest-assured that you are well-supported.  Our people are experienced, passionate and knowledgeable about student life; there’s not much they haven’t seen. Whether its directions to the bus stop you need or something more serious, they’ll be there to help. If things aren’t working out with your flat mates, they’ll do everything they can to help you sort it out or find you another room. Come enjoy your stay here.","31,34,66,71,72,73,74,87,88,89,94,96,101","10:00 AM","08:00 PM","1","1","1","1","","10000","",""
"37","37","Placio Pinnacle ","pg","female","Placio Pinnacle is a girl’s only housing offers safe, secure, high quality, en-suite accommodation a few minutes’ walk from the university. Placio is redefining student housing because we have the insight to create places to live where you can feel at home, no matter where you’ve come from or where you want to go. We provide fully curated, managed accommodation designed for women students pursuing their studies in Lucknow offers the most hassle-free option at an affordable all–inclusive rate located close by to BBD University. These are fully furnished spacious, comfortable, well-ventilated AC rooms on double sharing basis, equipped with pre-installed cupboards, study desk and chair, beds along with clean and soft beddings.    Placio Pinnacle offers WiFi, laundry services, 24x7 helpline, CCTV, power backup, parent helpline for a comfortable stay making this the best choice for female students as the place has a warm welcoming, open and clean environment which fosters friendship, solidarity and mutual respect along with healthy, nutritious and tasty food. Security is built into the design of all our accommodation. Whatever the problem, you’ll see a team of friendly faces throughout the day who can help you sort out your problem from our front desk staff, including maintenance staff, housekeepers, security staff and a dedicated Placio team trained to deal with any issue. ","29,31,34,66,71,72,73,74,86,87,88,89,93,94,96,98,101,105,106","10:00 AM","08:00 PM","1","1","1","1","","10000","",""
"38","38"," Placio Home Care SL02","pg","male","Placio proudly welcomes male students from all over India to spacious, comfortable, affordable, and safe student housing in Noida at Placio Home Care SL-12. All of our accommodations are fully furnished AC rooms on double sharing basis, with a variety of unparallel amenities. These are equipped with beds, pre-installed cupboards, study desk and chair, clean and soft beddings.  These are spacious, comfortable, well ventilated rooms having an attached bathroom, refrigerator and more.  WiFi, laundry services, housekeeping services, 24x7 helpline, CCTV, power backup, common TV, prepaid electrify metre, drinking water, 24x7 power backup plus parent helpline are provided for a comfortable stay. If you need a roommate, we will find a good match for you. With us, you will only have to focus on studying; we will take care of your housing need. We have high level of security because we want to make sure our residents feel safe and secure. Placio is about supporting students who live with us, in a way that represents all of their best interests of comfort, health and well-being. All this involves making you feel safe and comfortable.  Your security is of prime importance, which we insure with CCTV cameras installed on premises, security and guards on site. A selection of communal spaces are open to all residents for studying and socialising like dining area for in house meals. Our exceptional customer service, affordable pricing and ideal location set us apart from others and creates a community that you will be proud to call ""home"".","27,29,30,31,34,66,71,73,74,77,79,86,87,88,89,92,93,94,95,96,97,98,101,105,106","10:00 PM","06:00 AM","1","1","1","1","","17000","",""
"40","40","Placio Home Care KO-17 ","pg","male","Placio offers a stylish selection of fully furnished accommodation, designed specifically for students. Home Care KO-17 redefines student living with upscale luxurious housing for boys. Working on your college degree doesn’t have to be a bore. Come for fun-filled student living! Take a room here to have access to an exclusive amenity package that’s simply too good to ignore, visit and fall in love with our lavish cafe and lounge. 
Home Care KO 17 is a secured and comfortable student housing for boys with biometric entry. Luxurious fully-furnished AC rooms on double sharing basis are equipped with beds, closet, study desk with a chair, and a sink in sofa, TV with DTH and fridge. Indulge in the in-house dining experience in a spacious dining area or eat in the mess per your wish. There are no worries about laundry, cleaning as we provide housekeeping services or maintenance.  Accommodation here is more than four walls and a roof– it is a home where safety, comfort and well-being are main elements at Home Care KO-17. Fire safety and security has been given paramount importance. CCTV cameras are monitored and we have 24x7 security guards. Another plus is this property is located near university and public transports. Experience the joys of living with us!
","28,29,30,31,34,66,68,70,71,72,73,74,77,79,86,87,88,89,91,93,94,95,96,97,98,101,105,106","10:00 PM","06:00 AM","1","1","1","1","","17000","",""
"41","41","Placio Home Care KO-11","pg","male","Home Care KO-11 is student housing in Sector 126, Noida designed with boys in mind so that you can focus on studies and enjoy yourself. Placio aims for providing the best environment for our resident students because we understand the needs and wish to ensure that you have a comfortable stay. We offer fully furnished AC rooms on twin sharing basis, so you’re immediately provided with all necessary comforts when you move in. To ensure that you feel at home we provide beds, comfortable and clean mattresses & pillows with linen, attached bathroom with geyser, Each room has its own TV, fridge, closets, tables and chairs. We want your stay to be comfortable and stress free so we provide all the basic amenities like laundry, housekeeping and maintenance. WiFi, drinking water, 24x7 power back-up are provided. Your health is of concern to us and we have taken the responsibility to provide nutritious and tasty in-house meals keeping your eating habits in mind. You will only need to bring your personal belonging and just move in. Your well being means security, which we have ensured with CCTV cameras installed at various location on site, plus phone line for connectivity with parents.  Contact us with any questions that you may have or visit our website to know more details. ","30,31,34,66,71,72,73,74,77,79,86,87,88,89,92,93,94,95,96,97,98,101,105,106","10:00 PM","06:00 AM","1","1","1","1","","17000","",""
"42","42","Placio Happy Homes","pg","female","Coming Soon...","27,28,29,30,31,34,66,68,69,70,71,72,73,74,77,79,81,86,87,88,89,90,92,93,94,95,96,97,98,99,101,105,106","10:00 AM","06:00 AM","1","1","1","1","","","",""
"43","43","Placio Exotic Living","pg","female","Placio Exotic Living is a female-only student housing property located close by to Delhi University South Campus. The property offers three types of fully furnished accommodation options to DU Students - Single Occupancy, Double Occupancy and Three Occupancy. All these rooms are carefully designed to provide ample space to the students, making them feel comfortable and at home. These rooms come equipped with pre-installed cupboards, private bathrooms with geyser, clean and soft bedding, delicious breakfast, Lunch and Dinner, to ensure that your college years remain the best phase of your life. Placio Exotic Living also provides its residents with other basic amenities and ensures a clean and healthy environment for anybody who calls it their home.","28,30,31,34,66,68,69,70,71,72,73,74,76,77,79,86,87,88,89,93,94,96,97,98,99,100,101,105","10:00 AM","08:00 PM","1","1","1","1","17000","13500","12500",""
"44","44","Placio Marigold","pg","female","Welcome to Placio Marigold, where student housing isn’t just an apartment; it’s an experience of safe, secure and affordable housing! Featuring fully furnished AC rooms on double and triple sharing basis and all other facilities and amenities to make you feel at home, away from home with basic amenities like laundry, housekeeping, WiFi, drinking water, 24x7 power back-up. Professionally managed, the accommodation has been specially designed to provide everything you need to make your life as a student as easy as possible. We offer TV, closets, tables and chairs in rooms. You will find comfy mattress and soft fluffy pillows plus linen included. All you need is to bring your personal belonging. We are concerned with your personal well-being which translates in a sense of security, which we have ensured with CCTV cameras installed at various location on site, plus phone line for connectivity with parents.  Nutritious and healthy in-house meals are provided. We provide all of the resources you need to lead a balanced social and academic lifestyle. Contact us with any questions that you may have or visit our website to know more details. ","27,30,31,34,61,66,67,68,70,71,72,73,74,77,79,86,87,88,89,93,94,96,98,101,105,106","10:00 PM","06:00 AM","1","1","1","1","18000","16000","",""
"45","45","Placio Salvina 2","pg","female","Located in a very close proximity to DU North Campus, Placio Salvina 2 is the first and only all-female hostel offering secure, safe and fun place for women. We will offer you a homelike atmosphere and make you feel like you are staying among friends at Hudson Lane, GTB Nagar. Everything you need is available --- a clean, safe and beautiful place that will cater to your every need. At Placio Salvina 2 we aim to please and make your stay as comfortable and pleasant as it can be with nutritious tasty in-house quality meals in dining area on every floor. Our double shared AC en-suite room are fully furnished with a comfy mattress, storage, plug sockets with USB charging points, study desk and curtains. Attached bathroom is equipped with geyser, the room has fridge, WiFi, 24x7 power back-up, laundry and housekeeping. For your safety we have 24x7 security, CCTV cameras and parent helpline for stress-free living. Along with modern amenities our emphasis is simple and transparent moving-in process ensuring that you do it in style with Placio. Indeed, with the simple living environment as well as the warmth service exuded by the staff, our accommodations are designed for both relaxing and studying.","27,29,30,31,34,66,70,71,72,73,74,79,86,87,88,89,93,94,96,98,101,105,106","10:00 PM","06:00 AM","1","1","1","1","","17000","",""
"47","47","Placio Angel Paradise","pg","female","Placio Angel Paradise is a female-only student housing property located close by to big Institutes like Kautaliya Academy. The property offers one types of fully furnished accommodation options to students - Double Occupancy and Triple Occupancy. All these rooms are carefully designed to provide ample space to the students, making them feel comfortable and at home. This Placio verified property is located in D-11 Sarvanand Nagar, Bholaram Ustad Marg, Indore and comes equipped with a bike parking facility, room cleaning service, and a warden facility. Since it is a female-only student housing facility, Placio Angel Paradise ensures the safety of each and every resident like its daughters.","31,34,66,70,71,72,73,74,76,79,87,89,93,94,96,98,101,105,106","10:00 AM","07:00 PM","1","1","1","1","","7000","6500",""
"48","48","Placio Salvina 1","pg","female","Placio Salvina 1 offers safe, comfortable and affordable accommodation to only female students in North Campus without compromising on quality, comfort or security. A key reason why Placio Salvina 1 is one of the most popular student accommodation options is its proximity to some of the Delhi University and city’s key colleges -- giving your parents one less thing to worry about. As a resident in Placio’s property you won’t need to worry about in-house meals, parental contacts, laundry, housekeeping and much more. Our accommodation has been built and equipped to the highest possible standards. At Placio Salvina 1, we offer AC fully furnished en-suite rooms on double sharing basis equipped with geyser, comfortable bedding, TV, fridge study tables and chairs. All our rooms have onsite staff to ensure housekeeping, laundry, maintenance, 24x7 power backup, WiFi and secure biometric access and CCTV surveillance for added security making your stay with us as stress free as possible. We want all our students to feel secure and comfortable in their student accommodation. Any issues that may arise will be dealt with promptly by our on site management team. Wardens are present for administrative and supervision purpose. This hostel is ideally located near quick and reliable travel links giving our students freedom to enjoy their time.","27,29,30,34,61,66,67,68,70,71,72,73,74,77,79,86,87,89,93,94,95,96,98,101,105,106","10:00 PM","06:00 AM","1","1","1","1","","16000","",""
"49","49","Placio Inaya","pg","female","Living at Placio Inaya, Tugalkabad Extension is a superior experience. This is top quality buildings in central locations, equipped to the highest standards and with superb facilities.  We at Placio understand that your student days are a unique moment in your life when you want to feel safe and secure and have the liberty to explore South Campus. We pride ourselves on delivering an exceptional student experience by creating superior accommodation that reflects your ambitions. This we do by providing exceptional fully furnished bright, light, luxurious AC rooms on single and double sharing basis for only females.  We know that being a student means that there’s a lot going on and a lot to organise especially if you are an out stationed student. So, Placio at newly opened Inaya now offers solutions to make life a little easier with laundry and housekeeping, WiFi, drinking water, power-backup and monitored CCTVs. This ensures that it is well maintained and, what’s more, it’s safe. Placio has taken over Paco Meals for a unique culinary experience designed fir students with nutritional and yummy meals in house. But most importantly, we add a little wow.
Sleek living spaces and bold social areas at Inaya Student Housing deliver sophisticated style with modern design. Boasting superior features throughout, our luxurious accommodation will ensure your university experience is an unforgettable one. Our accommodation, facilities and locations are second to none and our dedicated staff will do all they can to ensure your stay with us is a happy and memorable one.
","27,29,30,31,34,66,70,71,73,74,79,86,87,89,96,99,105,106","10:00 AM","08:00 PM","1","1","1","1","17000","10000","",""
"50","50","Placio Royal Living","pg","male","Welcome to a new kind of student living experience at Placio Royal Living, designed with you in mind. We are the number one choice for student accommodation because we genuinely care about how you want to live. Living with Placio Housing isn't just about buildings, it’s about safe, secure homes where you can study and socialise in comfort. Our properties are perfectly located near city centres or universities, putting you within easy reach of your college, meaning fewer early-morning commutes. These housing come fully equipped with everything you need. Placio Royal Living offers fully furnished AC rooms on double and triple sharing basis. And all of our residences have plenty of communal spaces for studying or socialising. You'll have everything you need for a flying start to student life.  These days are unique moment in your life, so we pride ourselves on delivering exceptional experiences for a great stay. Your mind will be at ease knowing there’s on-site management teams, safety teams round the clock ready to help you with anything you need during your stay, plus laundry, in-house meals, 24x7 security, parent helpline, CCTV camera, power back-up and biometric keyed entry.  The housing has been designed especially for students – live life to the fullest. You will in due course of time discover for yourself that staying at Placio Royal Living takes all the worry out of moving to a new city. ","30,31,34,61,62,66,71,72,73,74,77,86,87,88,89,93,94,96,97,98,101,105,106","10:00 AM","08:00 PM","1","1","1","1","","13500","12500",""
"51","51","Placio Angel Town","pg","female","Placio Angel Town is a female-only student housing accommodation located in Shakarpur, with service, safety and security at its heart. Placio puts tenant comfort and convenience as our top priority. Modern furnished rooms, a long list of amenities, and prime location near Metro Station makes living here a joy. Getting to lectures is easier as major academic institutions and coaching centres in Laxmi Nagar are just a short walk away. We offer a wide selection of beautifully furnished en-suite single, double and triple occupancy rooms giving you the best of both worlds; privacy when you want it or fun in the shared in-house dining or an extensive array of common spaces and facilities giving you the opportunity to socialize and study with friends. Your security is of prime importance to us so we offer onsite 24x7 CCTV security cameras, warden, security guards, parent’s helpline providing for your peace of mind. Our amenities include a fully furnished room, on-site residence team, on-site maintenance team, high-speed WiFi throughout the building, AC, TV, on-site laundry facilities and fridge. We’ve got everything covered because our mission is to help you make the most of your time, so we take care of all the little things so you don’t have to.","29,30,31,34,66,70,71,72,73,74,79,86,87,88,89,93,94,96,97,98,101,105,106","10:00 AM","08:00 PM","1","1","1","1","14000","12500","11500",""
