"id","user_id","pg_name","zone","micromarket","score","question_value","create_date"
"5","600","Shreshth","Sec 126","Raipur 5%","73.75","{""1"":""500"",""2"":""500"",""3"":""200"",""4"":""Yes"",""5"":""No"",""6"":""40000"",""7"":""2"",""8"":""Poor"",""9"":""Good"",""10"":""Yes"",""11"":""No"",""12"":""Good"",""13"":""Average"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""No"",""19"":""No"",""20"":""Yes"",""21"":""24 hours available"",""22"":""No"",""23"":""Yes"",""24"":""50"",""25"":""60"",""26"":""160000""}",""
"6","600","est tnirmala pg ","north campus delhi ","vijay nagar","62","{""1"":""300"",""2"":""700"",""3"":""5000"",""4"":""Yes"",""5"":""Yes"",""6"":""50000"",""7"":""3"",""8"":""Average"",""9"":""Poor"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Average"",""16"":""Average"",""17"":""Yes"",""18"":""No"",""19"":""Yes"",""20"":""No"",""21"":""Not available"",""22"":""No"",""23"":""No"",""24"":""24"",""25"":""8"",""26"":""32000""}",""
"7","601","Satkar Hostels","Bhawanrkua","Bhawanrkua","74.25","{""1"":""500"",""2"":""500"",""3"":""800"",""4"":""Yes"",""5"":""Yes"",""6"":""5000"",""7"":""1 yr"",""8"":""Average"",""9"":""Average"",""10"":""Yes"",""11"":""Yes"",""12"":""Average"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Maybe"",""18"":""Yes"",""19"":""Yes"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""No"",""24"":""230"",""25"":""100"",""26"":""1,10,000""}",""
"8","60","Petals","DU North Campus","Shakti Nagar","65.25","{""1"":""0"",""2"":""50"",""3"":""1000"",""4"":""Yes"",""5"":""No"",""6"":""700"",""7"":""10"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Maybe"",""18"":""Yes"",""19"":""Yes"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""101"",""25"":""101"",""26"":""20000""}",""
"9","600","Petals Revised","DU North campus","Shakti Nagar","77.5","{""1"":""10"",""2"":""50"",""3"":""1000"",""4"":""Yes"",""5"":""Yes"",""6"":""700"",""7"":""10"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Maybe"",""18"":""Yes"",""19"":""Yes"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""101"",""25"":""100"",""26"":""200000""}",""
"10","643","kkrishna 5 sense","delhi","laxminagar","71.5","{""1"":""50"",""2"":""100"",""3"":""100"",""4"":""Yes"",""5"":""No"",""6"":""50000"",""7"":""5"",""8"":""Good"",""9"":""Average"",""10"":""Yes"",""11"":""No"",""12"":""Average"",""13"":""Average"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Maybe"",""18"":""Yes"",""19"":""No"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""140"",""25"":""90"",""26"":""100000""}",""
"11","643","kkrishna 5 sense","delhi","laxminagar","71.5","{""1"":""50"",""2"":""100"",""3"":""100"",""4"":""Yes"",""5"":""No"",""6"":""50000"",""7"":""5"",""8"":""Good"",""9"":""Average"",""10"":""Yes"",""11"":""No"",""12"":""Average"",""13"":""Average"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Maybe"",""18"":""Yes"",""19"":""No"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""140"",""25"":""90"",""26"":""100000""}",""
"19","602","Halls of Residence","Lucknow","BBD","58","{""1"":""0.1"",""2"":""0.1"",""3"":""0.1"",""4"":""Yes"",""5"":""No"",""6"":""25000"",""7"":""15"",""8"":""Good"",""9"":""Average"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Average"",""14"":""Yes"",""15"":""Average"",""16"":""Average"",""17"":""Maybe"",""18"":""No"",""19"":""No"",""20"":""Yes"",""21"":""24 hours available"",""22"":""No"",""23"":""Yes"",""24"":""72"",""25"":""60"",""26"":""6500""}",""
"20","61","Elite Homes","Noida","Raipur 5%","70","{""1"":""500"",""2"":""500"",""3"":""200"",""4"":""Yes"",""5"":""Select Option"",""6"":""40000"",""7"":""3"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Average"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Maybe"",""18"":""No"",""19"":""No"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""72"",""25"":""95"",""26"":""180000""}",""
"21","643","krishna pg","delhi","laxminagar","66.5","{""1"":""50"",""2"":""100"",""3"":""100"",""4"":""Yes"",""5"":""No"",""6"":""80000"",""7"":""5"",""8"":""Average"",""9"":""Average"",""10"":""Yes"",""11"":""No"",""12"":""Average"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Maybe"",""18"":""Yes"",""19"":""No"",""20"":""Yes"",""21"":""Not available"",""22"":""Yes"",""23"":""Yes"",""24"":""65"",""25"":""100"",""26"":""71500""}",""
"22","60","Pearls PG","DU North Campus","Shakti Nagar","73.75","{""1"":""15"",""2"":""15"",""3"":""1000"",""4"":""Yes"",""5"":""No"",""6"":""800"",""7"":""5"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""Yes"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""24"",""25"":""6"",""26"":""43200""}",""
"23","60","Vidyaa Jyoti","DU North Campus","Roop Nagar","59.25","{""1"":""200"",""2"":""200"",""3"":""800"",""4"":""Yes"",""5"":""No"",""6"":""600"",""7"":""5"",""8"":""Good"",""9"":""Good"",""10"":""Select Option"",""11"":""Yes"",""12"":""Good"",""13"":""Average"",""14"":""Yes"",""15"":""Average"",""16"":""Good"",""17"":""Maybe"",""18"":""Yes"",""19"":""Yes"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""55"",""25"":""90"",""26"":""74250""}",""
"24","600","Ahuja's PG","DU North Campus","Roop Nagar","75.5","{""1"":""20"",""2"":""50"",""3"":""600"",""4"":""Yes"",""5"":""No"",""6"":""600"",""7"":""5"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""No"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""Yes"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""32"",""25"":""85"",""26"":""26880""}",""
"25","61","The Pavilion","Noida","Raipur 5%","65.75","{""1"":""500"",""2"":""500"",""3"":""200"",""4"":""Yes"",""5"":""No"",""6"":""40000"",""7"":""2"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Maybe"",""18"":""No"",""19"":""No"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""46"",""25"":""60"",""26"":""82800""}",""
"26","643","tirupati palace","delhi","laxminagar","76.25","{""1"":""50"",""2"":""50"",""3"":""100"",""4"":""Yes"",""5"":""No"",""6"":""80000"",""7"":""4"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""No"",""12"":""Average"",""13"":""Average"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Maybe"",""18"":""Yes"",""19"":""No"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""120"",""25"":""6000"",""26"":""144000""}",""
"27","61","Luxury Livings","Noida","Raipur 5%","66","{""1"":""500"",""2"":""500"",""3"":""200"",""4"":""Yes"",""5"":""No"",""6"":""40000"",""7"":""3"",""8"":""Average"",""9"":""Good"",""10"":""Yes"",""11"":""No"",""12"":""Average"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""No"",""19"":""No"",""20"":""Yes"",""21"":""24 hours available"",""22"":""No"",""23"":""Yes"",""24"":""38"",""25"":""70"",""26"":""60800""}",""
"28","61","Shresth Homes","Noida","Raipur 5%","68.5","{""1"":""500"",""2"":""500"",""3"":""200"",""4"":""Yes"",""5"":""No"",""6"":""40000"",""7"":""3"",""8"":""Poor"",""9"":""Good"",""10"":""Yes"",""11"":""No"",""12"":""Good"",""13"":""Average"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""No"",""19"":""No"",""20"":""Yes"",""21"":""12 hours available"",""22"":""No"",""23"":""Yes"",""24"":""50"",""25"":""50"",""26"":""80000""}",""
"29","60","Wellham PG","DU North Campus","Roop Nagar","63.5","{""1"":""200"",""2"":""200"",""3"":""700"",""4"":""Yes"",""5"":""No"",""6"":""600"",""7"":""5"",""8"":""Average"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Average"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""No"",""19"":""No"",""20"":""Yes"",""21"":""Not available"",""22"":""Yes"",""23"":""No"",""24"":""36"",""25"":""90"",""26"":""54000""}",""
"30","61","BS PG","Noida","Raipur 5%","65.25","{""1"":""500"",""2"":""500"",""3"":""200"",""4"":""Yes"",""5"":""No"",""6"":""40000"",""7"":""0"",""8"":""Good"",""9"":""Average"",""10"":""Yes"",""11"":""No"",""12"":""Average"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""No"",""19"":""No"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""40"",""25"":""new property"",""26"":""64000""}",""
"31","61","DAP PG Homes","Noida","Raipur 5%","56.5","{""1"":""500"",""2"":""500"",""3"":""200"",""4"":""Yes"",""5"":""No"",""6"":""40000"",""7"":""3"",""8"":""Average"",""9"":""Poor"",""10"":""No"",""11"":""No"",""12"":""Average"",""13"":""Average"",""14"":""Yes"",""15"":""Good"",""16"":""Average"",""17"":""Yes"",""18"":""No"",""19"":""No"",""20"":""Yes"",""21"":""Not available"",""22"":""No"",""23"":""No"",""24"":""56"",""25"":""95"",""26"":""56000""}",""
"32","643","Vasu PG","delhi","laxminagar","51.25","{""1"":""50"",""2"":""50"",""3"":""50"",""4"":""Yes"",""5"":""No"",""6"":""80000"",""7"":""6"",""8"":""Average"",""9"":""Average"",""10"":""No"",""11"":""No"",""12"":""Average"",""13"":""Poor"",""14"":""Yes"",""15"":""Average"",""16"":""Average"",""17"":""Maybe"",""18"":""No"",""19"":""No"",""20"":""Yes"",""21"":""12 hours available"",""22"":""Yes"",""23"":""No"",""24"":""42"",""25"":""80"",""26"":""37800""}",""
"33","60","Apoorva PG 1","DU North Campus","Hudson Lane","77","{""1"":""10"",""2"":""250"",""3"":""200"",""4"":""Yes"",""5"":""No"",""6"":""4500"",""7"":""5"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""No"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""48"",""25"":""90"",""26"":""36480""}",""
"34","61","New Prop Near Divya","Noida","Raipur 5%","80","{""1"":""500"",""2"":""500"",""3"":""200"",""4"":""Yes"",""5"":""No"",""6"":""40000"",""7"":""0"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""No"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Average"",""17"":""Yes"",""18"":""No"",""19"":""No"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""140"",""25"":""new property"",""26"":""210000""}",""
"35","643","royal house","delhi","laxminagar","75.25","{""1"":""50"",""2"":""50"",""3"":""50"",""4"":""Yes"",""5"":""No"",""6"":""80000"",""7"":""5"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""No"",""12"":""Average"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Maybe"",""18"":""No"",""19"":""No"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""100"",""25"":""90"",""26"":""120000""}",""
"36","60","Apoorva PG 2","DU North Campus","Hudson Lane","79.25","{""1"":""10"",""2"":""250"",""3"":""200"",""4"":""Yes"",""5"":""Yes"",""6"":""4500"",""7"":""5"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""No"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""60"",""25"":""90"",""26"":""46080""}",""
"37","61","Vijay Chauhan-sec44","Noida","Sector 44","83.25","{""1"":""20"",""2"":""200"",""3"":""700"",""4"":""Yes"",""5"":""Yes"",""6"":""40000"",""7"":""0"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""No"",""19"":""No"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""130"",""25"":""new property"",""26"":""182000""}",""
"38","60","Apoorva PG 3","DU North Campus","Hudson Lane","64.5","{""1"":""10"",""2"":""250"",""3"":""200"",""4"":""Yes"",""5"":""Yes"",""6"":""4500"",""7"":""5"",""8"":""Average"",""9"":""Average"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Average"",""14"":""Yes"",""15"":""Average"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""No"",""20"":""Yes"",""21"":""Not available"",""22"":""No"",""23"":""No"",""24"":""15"",""25"":""80"",""26"":""11220""}",""
"39","61","Divya Homes","Noida","Raipur 5%","68","{""1"":""500"",""2"":""500"",""3"":""200"",""4"":""Yes"",""5"":""No"",""6"":""40000"",""7"":""1"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""No"",""12"":""Average"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Maybe"",""18"":""Select Option"",""19"":""Select Option"",""20"":""Yes"",""21"":""24 hours available"",""22"":""No"",""23"":""Yes"",""24"":""84"",""25"":""95"",""26"":""126000""}",""
"40","643","singhla house","delhi","laxminagar","67.5","{""1"":""50"",""2"":""50"",""3"":""50"",""4"":""Yes"",""5"":""No"",""6"":""80000"",""7"":""0"",""8"":""Average"",""9"":""Average"",""10"":""Yes"",""11"":""No"",""12"":""Average"",""13"":""Average"",""14"":""Yes"",""15"":""Average"",""16"":""Average"",""17"":""Maybe"",""18"":""No"",""19"":""No"",""20"":""No"",""21"":""Not available"",""22"":""No"",""23"":""Yes"",""24"":""210"",""25"":""0"",""26"":""252000""}",""
"41","643","nilkanth PG","delhi","laxminagar","75.25","{""1"":""50"",""2"":""50"",""3"":""50"",""4"":""Yes"",""5"":""No"",""6"":""80000"",""7"":""5"",""8"":""Average"",""9"":""Average"",""10"":""Yes"",""11"":""No"",""12"":""Average"",""13"":""Average"",""14"":""Yes"",""15"":""Average"",""16"":""Good"",""17"":""Yes"",""18"":""No"",""19"":""No"",""20"":""Yes"",""21"":""12 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""70"",""25"":""80"",""26"":""77000""}",""
"42","61","Himanshu Sharma sec 44","Noida","Sector 44","72.25","{""1"":""100"",""2"":""100"",""3"":""900"",""4"":""Yes"",""5"":""Yes"",""6"":""40000"",""7"":""0"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""No"",""19"":""No"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""40"",""25"":""new property"",""26"":""60000""}",""
"43","60","Apoorva PG 4","DU North Campus","Hudson Lane","63","{""1"":""10"",""2"":""250"",""3"":""200"",""4"":""Yes"",""5"":""No"",""6"":""4500"",""7"":""5"",""8"":""Poor"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Average"",""14"":""Yes"",""15"":""Good"",""16"":""Average"",""17"":""Yes"",""18"":""Yes"",""19"":""No"",""20"":""Yes"",""21"":""Not available"",""22"":""No"",""23"":""No"",""24"":""13"",""25"":""77"",""26"":""9900""}",""
"44","60","Paradise PG","DU North Campus","Outram Line","65.5","{""1"":""10"",""2"":""250"",""3"":""250"",""4"":""Yes"",""5"":""No"",""6"":""1000"",""7"":""8"",""8"":""Average"",""9"":""Average"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""No"",""19"":""No"",""20"":""Yes"",""21"":""Not available"",""22"":""No"",""23"":""No"",""24"":""40"",""25"":""45"",""26"":""50000""}",""
"45","60","Nirmala PG 1","DU North Campus","Hudson Lane","58.5","{""1"":""350"",""2"":""350"",""3"":""350"",""4"":""Yes"",""5"":""No"",""6"":""4500"",""7"":""5"",""8"":""Average"",""9"":""Poor"",""10"":""No"",""11"":""Yes"",""12"":""Good"",""13"":""Poor"",""14"":""Yes"",""15"":""Average"",""16"":""Average"",""17"":""Yes"",""18"":""Yes"",""19"":""No"",""20"":""Yes"",""21"":""Not available"",""22"":""No"",""23"":""No"",""24"":""55"",""25"":""45"",""26"":""55000""}",""
"46","60","Nirmala PG 2","DU North campus","Hudson Lane","71","{""1"":""200"",""2"":""200"",""3"":""200"",""4"":""Yes"",""5"":""No"",""6"":""4500"",""7"":""6"",""8"":""Average"",""9"":""Average"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Average"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""No"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""44"",""25"":""77"",""26"":""44000""}",""
"47","60","Nirmala PG 3","DU North Campus","Hudson Lane","69.75","{""1"":""200"",""2"":""200"",""3"":""200"",""4"":""Yes"",""5"":""No"",""6"":""4500"",""7"":""6"",""8"":""Average"",""9"":""Average"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Average"",""14"":""Yes"",""15"":""Average"",""16"":""Average"",""17"":""Yes"",""18"":""Yes"",""19"":""No"",""20"":""Yes"",""21"":""24 hours available"",""22"":""No"",""23"":""Yes"",""24"":""50"",""25"":""84"",""26"":""55000""}",""
"48","60","Nirmala PG 4","DU North Campus","Hudson Lane","69","{""1"":""250"",""2"":""250"",""3"":""250"",""4"":""Yes"",""5"":""Yes"",""6"":""4500"",""7"":""8"",""8"":""Average"",""9"":""Average"",""10"":""Yes"",""11"":""No"",""12"":""Good"",""13"":""Average"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""No"",""20"":""Yes"",""21"":""24 hours available"",""22"":""No"",""23"":""Yes"",""24"":""30"",""25"":""83"",""26"":""30000""}",""
"49","60","Nirmala PG 5","DU North Campus","Hudson Lane","64.25","{""1"":""250"",""2"":""250"",""3"":""250"",""4"":""Yes"",""5"":""Yes"",""6"":""4500"",""7"":""8"",""8"":""Average"",""9"":""Average"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Average"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""No"",""20"":""Yes"",""21"":""Not available"",""22"":""No"",""23"":""No"",""24"":""20"",""25"":""80"",""26"":""20000""}",""
"50","60","Dua PG","DU North Campus","Outram Line","72","{""1"":""300"",""2"":""400"",""3"":""400"",""4"":""Yes"",""5"":""No"",""6"":""1000"",""7"":""1"",""8"":""Average"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""No"",""19"":""No"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""60"",""25"":""84"",""26"":""60000""}",""
"51","60","Singh PG","DU North Campus","Vijay Nagar","56.25","{""1"":""200"",""2"":""400"",""3"":""700"",""4"":""Yes"",""5"":""Yes"",""6"":""6000"",""7"":""8"",""8"":""Poor"",""9"":""Poor"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Average"",""14"":""Yes"",""15"":""Average"",""16"":""Good"",""17"":""Yes"",""18"":""No"",""19"":""No"",""20"":""Yes"",""21"":""Not available"",""22"":""No"",""23"":""No"",""24"":""24"",""25"":""10"",""26"":""24000""}",""
