"id","user_id","pg_name","zone","micromarket","score","question_value","create_date"
"52","60","Renuka PG 1","DU North Campus","Vijay Nagar","75.25","{""1"":""50"",""2"":""200"",""3"":""800"",""4"":""Yes"",""5"":""No"",""6"":""6000"",""7"":""6"",""8"":""Poor"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""No"",""20"":""Yes"",""21"":""Not available"",""22"":""Yes"",""23"":""Yes"",""24"":""24"",""25"":""84"",""26"":""28800""}",""
"53","60","Girls PG 1","DU North Campus","Vijay Nagar","66.25","{""1"":""15"",""2"":""400"",""3"":""700"",""4"":""Yes"",""5"":""No"",""6"":""6000"",""7"":""1"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Maybe"",""18"":""No"",""19"":""No"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""26"",""25"":""85"",""26"":""31200""}",""
"54","60","Girls PG 2","DU North Campus","Vijay Nagar","61.25","{""1"":""15"",""2"":""400"",""3"":""700"",""4"":""Yes"",""5"":""No"",""6"":""6000"",""7"":""1"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Maybe"",""18"":""No"",""19"":""No"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""26"",""25"":""0"",""26"":""31200""}",""
"55","61","Atlantis","Noida","Raipur 5%","60.25","{""1"":""500"",""2"":""500"",""3"":""200"",""4"":""Yes"",""5"":""No"",""6"":""40000"",""7"":""1"",""8"":""Average"",""9"":""Average"",""10"":""No"",""11"":""No"",""12"":""Average"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Average"",""17"":""Yes"",""18"":""No"",""19"":""No"",""20"":""Yes"",""21"":""24 hours available"",""22"":""No"",""23"":""No"",""24"":""36"",""25"":""88"",""26"":""43200""}","27-12-2017"
"56","61","Amy House","Noida","Raipur","74.75","{""1"":""600"",""2"":""50"",""3"":""200"",""4"":""Yes"",""5"":""No"",""6"":""40000"",""7"":""2"",""8"":""Average"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Average"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""No"",""19"":""No"",""20"":""Yes"",""21"":""12 hours available"",""22"":""Select Option"",""23"":""Yes"",""24"":""72"",""25"":""81"",""26"":""91000""}","27-12-2017"
"57","60","Simran PG 1","DU North Campus","Vijay Nagar","67","{""1"":""5"",""2"":""700"",""3"":""700"",""4"":""Yes"",""5"":""Yes"",""6"":""4500"",""7"":""6"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Maybe"",""18"":""Yes"",""19"":""No"",""20"":""Yes"",""21"":""Not available"",""22"":""Yes"",""23"":""Yes"",""24"":""35"",""25"":""86"",""26"":""42000""}","27-12-2017"
"58","60","Simran PG 2","DU North Campus","Vijay Nagar","63","{""1"":""250"",""2"":""700"",""3"":""800"",""4"":""Yes"",""5"":""No"",""6"":""4500"",""7"":""5"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Average"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Maybe"",""18"":""Yes"",""19"":""No"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""24"",""25"":""90"",""26"":""31200""}","27-12-2017"
"59","60","Simran PG 3","DU North Campus","Vijay Nagar","64.5","{""1"":""300"",""2"":""800"",""3"":""800"",""4"":""Yes"",""5"":""No"",""6"":""4500"",""7"":""8"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Average"",""16"":""Good"",""17"":""Maybe"",""18"":""Yes"",""19"":""No"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""42"",""25"":""90"",""26"":""54600""}","27-12-2017"
"60","60","Kaushalya Niwas 1","DU North Campus","Vijay Nagar","75","{""1"":""5"",""2"":""700"",""3"":""700"",""4"":""Yes"",""5"":""No"",""6"":""4500"",""7"":""8"",""8"":""Poor"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""No"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""34"",""25"":""89"",""26"":""47600""}","27-12-2017"
"61","60","Sandhya PG 1","DU North Campus","Vijay Nagar","52","{""1"":""700"",""2"":""700"",""3"":""700"",""4"":""Yes"",""5"":""No"",""6"":""4500"",""7"":""8"",""8"":""Poor"",""9"":""Average"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Average"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Maybe"",""18"":""No"",""19"":""No"",""20"":""Yes"",""21"":""Not available"",""22"":""No"",""23"":""No"",""24"":""34"",""25"":""90"",""26"":""34000""}","27-12-2017"
"62","60","Sandhya PG 2","DU North Campus","Vijay Nagar","49.5","{""1"":""800"",""2"":""800"",""3"":""800"",""4"":""Yes"",""5"":""No"",""6"":""4500"",""7"":""8"",""8"":""Poor"",""9"":""Average"",""10"":""Yes"",""11"":""Yes"",""12"":""Average"",""13"":""Average"",""14"":""Yes"",""15"":""Average"",""16"":""Average"",""17"":""Maybe"",""18"":""No"",""19"":""No"",""20"":""Yes"",""21"":""Not available"",""22"":""No"",""23"":""No"",""24"":""26"",""25"":""90"",""26"":""31200""}","27-12-2017"
"63","601","Vinayka 1 & 2","Khandwa Road","Khandwa Road","64.75","{""1"":""600"",""2"":""800"",""3"":""1000"",""4"":""Yes"",""5"":""No"",""6"":""800"",""7"":""0"",""8"":""Average"",""9"":""Average"",""10"":""Yes"",""11"":""Yes"",""12"":""Average"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""No"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""No"",""24"":""55"",""25"":""0"",""26"":""60500""}","27-12-2017"
"64","601","Barjindar Chhabra","Khandwa Road","Khandwa Road","78","{""1"":""700"",""2"":""1200"",""3"":""1500"",""4"":""Yes"",""5"":""Yes"",""6"":""1000"",""7"":""5"",""8"":""Average"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""No"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""No"",""24"":""350"",""25"":""0"",""26"":""350000""}","27-12-2017"
"65","60","Wave PG","DU North Campus","Vijay Nagar","61","{""1"":""800"",""2"":""800"",""3"":""800"",""4"":""Yes"",""5"":""Yes"",""6"":""4500"",""7"":""4"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Maybe"",""18"":""No"",""19"":""No"",""20"":""Yes"",""21"":""Not available"",""22"":""Yes"",""23"":""Yes"",""24"":""24"",""25"":""90"",""26"":""33600""}","27-12-2017"
"66","60","Vidya Niwas 1","DU North Campus","Vijay Nagar","67.5","{""1"":""50"",""2"":""600"",""3"":""800"",""4"":""No"",""5"":""Yes"",""6"":""4500"",""7"":""9"",""8"":""Average"",""9"":""Average"",""10"":""Yes"",""11"":""No"",""12"":""Good"",""13"":""Average"",""14"":""Yes"",""15"":""Average"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""No"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""32"",""25"":""90"",""26"":""38400""}","27-12-2017"
"67","60","Vidya Niwas 2","DU North Campus","Malkaganj","67","{""1"":""150"",""2"":""700"",""3"":""700"",""4"":""No"",""5"":""Yes"",""6"":""4500"",""7"":""10"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""No"",""12"":""Good"",""13"":""Average"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""No"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""24"",""25"":""90"",""26"":""28800""}","27-12-2017"
"68","60","Vidya Niwas 3","DU North Campus","Vijay Nagar","62","{""1"":""150"",""2"":""800"",""3"":""800"",""4"":""No"",""5"":""No"",""6"":""4500"",""7"":""4"",""8"":""Average"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""No"",""20"":""Yes"",""21"":""Not available"",""22"":""Yes"",""23"":""No"",""24"":""17"",""25"":""90"",""26"":""20400""}","27-12-2017"
"69","60","Sahni PG","DU North Campus","Mall road","80","{""1"":""500"",""2"":""50"",""3"":""50"",""4"":""Yes"",""5"":""No"",""6"":""600"",""7"":""12"",""8"":""Average"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Average"",""14"":""Yes"",""15"":""Average"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""No"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""137"",""25"":""95"",""26"":""171250""}","27-12-2017"
"70","60","Rana PG","DU North Campus","Vijay Nagar","57","{""1"":""200"",""2"":""600"",""3"":""800"",""4"":""No"",""5"":""No"",""6"":""4500"",""7"":""5"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Maybe"",""18"":""No"",""19"":""No"",""20"":""Yes"",""21"":""Not available"",""22"":""Yes"",""23"":""Yes"",""24"":""36"",""25"":""80"",""26"":""43200""}","27-12-2017"
"71","60","Krishna PG","DU North Campus","Vijay Nagar","51","{""1"":""150"",""2"":""250"",""3"":""250"",""4"":""Yes"",""5"":""Yes"",""6"":""6000"",""7"":""5"",""8"":""Poor"",""9"":""Average"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Average"",""14"":""Yes"",""15"":""Average"",""16"":""Good"",""17"":""Maybe"",""18"":""No"",""19"":""No"",""20"":""Yes"",""21"":""Not available"",""22"":""No"",""23"":""No"",""24"":""21"",""25"":""80"",""26"":""16800""}","27-12-2017"
"72","60","Kamaroopa PG","DU North Campus","Shakti Nagar","74.5","{""1"":""5"",""2"":""10"",""3"":""700"",""4"":""Yes"",""5"":""No"",""6"":""800"",""7"":""8"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Maybe"",""18"":""Yes"",""19"":""No"",""20"":""Yes"",""21"":""Not available"",""22"":""Yes"",""23"":""Yes"",""24"":""100"",""25"":""90"",""26"":""130000""}","28-12-2017"
"73","60","Royal Girls PG 1","DU North Campus","Vijay Nagar","79.75","{""1"":""150"",""2"":""800"",""3"":""800"",""4"":""Yes"",""5"":""Yes"",""6"":""6000"",""7"":""8"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Maybe"",""18"":""Yes"",""19"":""No"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""70"",""25"":""90"",""26"":""840000""}","28-12-2017"
"74","60","Royal Girls PG 2","DU North Campus","Vijay Nagar","71.25","{""1"":""150"",""2"":""200"",""3"":""800"",""4"":""Yes"",""5"":""No"",""6"":""6000"",""7"":""9"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Maybe"",""18"":""Yes"",""19"":""No"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""65"",""25"":""90"",""26"":""78000""}","28-12-2017"
"75","60","Nivedita Sadan","DU North Campus","Kamla Nagar","70","{""1"":""10"",""2"":""50"",""3"":""400"",""4"":""Yes"",""5"":""No"",""6"":""8000"",""7"":""9"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Average"",""16"":""Good"",""17"":""Maybe"",""18"":""Yes"",""19"":""No"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""60"",""25"":""90"",""26"":""72000""}","28-12-2017"
"76","60","Nivedita Kunj","DU North Campus","Kamla Nagar","64.75","{""1"":""10"",""2"":""50"",""3"":""400"",""4"":""Yes"",""5"":""No"",""6"":""8000"",""7"":""9"",""8"":""Average"",""9"":""Average"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Average"",""14"":""Yes"",""15"":""Average"",""16"":""Good"",""17"":""Maybe"",""18"":""Yes"",""19"":""No"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""40"",""25"":""90"",""26"":""48000""}","28-12-2017"
"77","60","Priyanka PG","DU North Campus","Roop Nagar","60.5","{""1"":""25"",""2"":""150"",""3"":""600"",""4"":""Yes"",""5"":""Select Option"",""6"":""800"",""7"":""8"",""8"":""Average"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Maybe"",""18"":""No"",""19"":""No"",""20"":""Yes"",""21"":""Not available"",""22"":""Yes"",""23"":""Yes"",""24"":""36"",""25"":""90"",""26"":""43200""}","28-12-2017"
"78","60","Sai Kunj PG","DU North Campus","Roop Nagar","60","{""1"":""150"",""2"":""150"",""3"":""700"",""4"":""Yes"",""5"":""Yes"",""6"":""800"",""7"":""9"",""8"":""Average"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Average"",""16"":""Good"",""17"":""Maybe"",""18"":""No"",""19"":""No"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""24"",""25"":""90"",""26"":""26400""}","28-12-2017"
"79","60","North Campus PG","DU North Campus","Vijay Nagar","77.25","{""1"":""20"",""2"":""250"",""3"":""700"",""4"":""Yes"",""5"":""Yes"",""6"":""6000"",""7"":""9"",""8"":""Poor"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""No"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""40"",""25"":""90"",""26"":""64000""}","28-12-2017"
"80","60","Mehta PG","DU North Campus","Vijay Nagar","65.25","{""1"":""10"",""2"":""150"",""3"":""600"",""4"":""Yes"",""5"":""Yes"",""6"":""6000"",""7"":""9"",""8"":""Average"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Maybe"",""18"":""No"",""19"":""No"",""20"":""Yes"",""21"":""Not available"",""22"":""Yes"",""23"":""Yes"",""24"":""32"",""25"":""90"",""26"":""32000""}","28-12-2017"
"81","60","Orchid","DU North Campus","Vijay Nagar","77.25","{""1"":""50"",""2"":""400"",""3"":""800"",""4"":""Yes"",""5"":""No"",""6"":""6000"",""7"":""4"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""No"",""20"":""Yes"",""21"":""Not available"",""22"":""Yes"",""23"":""Yes"",""24"":""40"",""25"":""90"",""26"":""56000""}","28-12-2017"
"82","60","Renuka PG 2","DU North Campus","Vijay Nagar","68.25","{""1"":""50"",""2"":""250"",""3"":""700"",""4"":""Yes"",""5"":""Yes"",""6"":""6000"",""7"":""5"",""8"":""Poor"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""No"",""20"":""Yes"",""21"":""Not available"",""22"":""No"",""23"":""No"",""24"":""10"",""25"":""90"",""26"":""20000""}","28-12-2017"
"83","60","Renuka PG 3","DU North Campus","Hudson Lane","65","{""1"":""100"",""2"":""250"",""3"":""600"",""4"":""Yes"",""5"":""No"",""6"":""4500"",""7"":""8"",""8"":""Poor"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""No"",""20"":""Yes"",""21"":""Not available"",""22"":""Yes"",""23"":""No"",""24"":""18"",""25"":""90"",""26"":""21600""}","28-12-2017"
"84","60","Aawas PG","DU North Campus","Mall Road","58.75","{""1"":""150"",""2"":""300"",""3"":""300"",""4"":""Yes"",""5"":""No"",""6"":""1500"",""7"":""10"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Maybe"",""18"":""No"",""19"":""No"",""20"":""Yes"",""21"":""Not available"",""22"":""Yes"",""23"":""Yes"",""24"":""34"",""25"":""85"",""26"":""47600""}","28-12-2017"
"85","60","Raizada Niwas","DU North Campus","Mall road","73.25","{""1"":""150"",""2"":""300"",""3"":""350"",""4"":""Yes"",""5"":""No"",""6"":""1500"",""7"":""8"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Average"",""16"":""Good"",""17"":""Maybe"",""18"":""Yes"",""19"":""No"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""110"",""25"":""80"",""26"":""143000""}","28-12-2017"
"86","60","Aranya Girls PG","DU North Campus","Mall road","73.25","{""1"":""150"",""2"":""300"",""3"":""350"",""4"":""Yes"",""5"":""No"",""6"":""1500"",""7"":""8"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Average"",""16"":""Good"",""17"":""Maybe"",""18"":""Yes"",""19"":""No"",""20"":""Yes"",""21"":""24 hours available"",""22"":""Yes"",""23"":""Yes"",""24"":""125"",""25"":""85"",""26"":""175000""}","28-12-2017"
"87","60","Kaushalya Niwas 2","DU North Campus","Vijay Nagar","69.25","{""1"":""5"",""2"":""400"",""3"":""700"",""4"":""Yes"",""5"":""No"",""6"":""6000"",""7"":""6"",""8"":""Good"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""No"",""20"":""Yes"",""21"":""Not available"",""22"":""No"",""23"":""No"",""24"":""8"",""25"":""100"",""26"":""10400""}","28-12-2017"
"88","60","Kaushalya Niwas 3","DU North Campus","Vijay Nagar","69.25","{""1"":""100"",""2"":""400"",""3"":""800"",""4"":""Yes"",""5"":""No"",""6"":""6000"",""7"":""8"",""8"":""Average"",""9"":""Good"",""10"":""Yes"",""11"":""Yes"",""12"":""Good"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""Yes"",""19"":""No"",""20"":""Yes"",""21"":""Not available"",""22"":""Yes"",""23"":""Yes"",""24"":""18"",""25"":""100"",""26"":""23400""}","28-12-2017"
"89","1","Alpha 1","North","Shakti nagar","77.75","{""1"":""1000"",""2"":""1000"",""3"":""1000"",""4"":""Yes"",""5"":""No"",""6"":""5000"",""7"":""10"",""8"":""Average"",""9"":""Poor"",""10"":""Yes"",""11"":""No"",""12"":""Average"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Average"",""17"":""Yes"",""18"":""Yes"",""19"":""Yes"",""20"":""No"",""21"":""12 hours available"",""22"":""Yes"",""23"":""No"",""24"":""100"",""25"":""70"",""26"":""1000000""}","29-12-2017"
"90","643","J P house","delhi","laxminagar","70.25","{""1"":""50"",""2"":""50"",""3"":""100"",""4"":""Yes"",""5"":""No"",""6"":""80000"",""7"":""5"",""8"":""Average"",""9"":""Poor"",""10"":""Yes"",""11"":""No"",""12"":""Average"",""13"":""Good"",""14"":""Yes"",""15"":""Good"",""16"":""Good"",""17"":""Yes"",""18"":""No"",""19"":""No"",""20"":""Yes"",""21"":""Not available"",""22"":""No"",""23"":""Yes"",""24"":""74"",""25"":""68%"",""26"":""74000""}","04-01-2018"
